Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
 1359426   561466    58893   625285        0  5724786    15638     6437      818     2136        0      384      105747   1139897        0        0        0        0       10        0        0        0 
 1359658   561712    58893   625285        0  5724542    15628     4586      554     2172        0        0      105747   1140143        0        0        0        0        5        0        0        0 
 1359866   561401    58893   625219        0  5724823    15638     5992      815     2166        0        0      105749   1139764        0        0        0        0        8        0        0        0 
 1359631   561753    58907   625228        0  5724534    15638     5181      554     2215        0        0      105783   1140105        0        0        0        0       30        0        0        0 
 1360125   561782    58915   625228        0  5724532    15638     4063      554     1943        0        0      105825   1140100        0        0        0        0       44        0        0        0 
 1359599   561799    58926   625227        0  5724532    15638     6718      821     2281        0        0      105840   1140112        0        0        0        0       13        0        0        0 
 1363846   558273    58926   625227        0  5724353    15636     4605      571     2221        0        0      105813   1136613        0        0        0        0        5        0        0        0 
 1362801   557262    59721   625226        0  5725692    15638     6864      823     2194        0        0      106896   1135313        0        0        0        0      781        0        0        0 
 1362337   558525    59721   625225        0  5724344    15638     4627      551     2179        0        0      106897   1136574        0        0        0        0        5        0        0        0 
 1345140   557897    59749   625225        0  5741976    15264     6857      816    19450        0        0      106932   1135939        0        0        0        0       32        0        0        0 
 1358495   562456    59751   625223        0  5724696    22374     4593      562     2300        0        0      106913   1140517        0        0        0        0        5        0        0        0 
 1362569   558624    59777   625196        0  5724202    18266     6470      957     2136        0      192      106945   1136652        0        0        0        0       28        0        0        0 
 1365636   555763    59777   625192        0  5724204    15638     4529      557     2136        0      200      106945   1133787        0        0        0        0        5        0        0        0 
 1365479   555762    59777   625191        0  5724199    15638     6337      815     2137        0        0      106945   1133785        0        0        0        0        7        0        0        0 
 1365150   555145    59783   625191        0  5724813    15638     4621      550     2130        0        0      106951   1133152        0        0        0        0        5        0        0        0 
 1364995   555802    59786   625190        0  5724210    15638     6526      813     2179        0        0      106954   1133824        0        0        0        0        7        0        0        0 
 1364965   555768    59786   625190        0  5724211    15638     4516      551     2142        0        0      106954   1133790        0        0        0        0        5        0        0        0 
 1365308   555796    59786   625190        0  5724208    15638     5502      678     2166        0        0      106954   1133818        0        0        0        0        6        0        0        0 
Mach Virtual Memory Statistics: (page size of 16384 bytes)
    free   active   specul inactive throttle    wired  prgable   faults     copy    0fill reactive   purged file-backed anonymous cmprssed cmprssor  dcomprs   comprs  pageins  pageout  swapins swapouts
 1364397   555910    59786   625171        0  5724213    15638 50376646  1258197 41088521      937    70713      106954   1133913        0        0        0        0  1386951        0        0        0 
 1364570   556200    60161   625281        0  5724218    15638     6786      683     2343        0        0      107749   1133893        0        0        0        0      560        0        0        0 
 1363961   556367    60216   625372        0  5724217    15640     5638      687     2232        2        0      108055   1133900        0        0        0        0      251        0        0        0 
 1338376   565012    60292   624518        0  5741882    22942     8174      788    36387        0        0      108213   1141609        0        0        0        0      110        0        0        0 
 1353552   567048    60368   624518        0  5724922    24937     5226      686     2191        0        0      108318   1143616        0        0        0        0       71        0        0        0 
 1375175  1147232    60379   685027        0  5062526    38254     6776      820    18733        2      384      108191   1784447        0        0        0        0       32        0        0        0 
 1391691  1128524    60379   687045        0  5062533    21801     4970      685     2078        0      192      108191   1767757        0        0        0        0        6        0        0        0 
 1398015  1119733    60379   689440        0  5062511    15657     5897      674     2192        0      192      108191   1761361        0        0        0        0        6        0        0        0 
 1398398  1117571    60379   691581        0  5062513    15657     5217      688     2081        3        0      108191   1761340        0        0        0        0        6        0        0        0 
 1398115  1115437    60380   693784        0  5062516    15657     5387      916     2071        0        0      108192   1761409        0        0        0        0        6        0        0        0 
 1398085  1113759    60380   695400        0  5062468    15657     4504      538     2131        0        0      108192   1761347        0        0        0        0        5        0        0        0 
